subject,question_text,option_a,option_b,option_c,option_d,correct_answer
AI,Which optimization algorithm adapts learning rates per parameter and has momentum?,Adam,RMSprop,SGD,Adagrad,A
AI,What causes vanishing gradients in deep networks?,Small weight initialization,High learning rates,Large batch sizes,Sigmoid activation saturation,D
AI,Which technique prevents catastrophic forgetting in continual learning?,Fine-tuning,Transfer learning,Elastic Weight Consolidation,Data augmentation,C
AI,What is the time complexity of A* search with branching factor b and depth d?,O(b^d),O(bd),O(d^b),O(b*d),A
AI,Which loss function is robust to outliers in regression?,MSE,MAE,Huber loss,Cross-entropy,C
AI,What does the attention mechanism in transformers compute?,Weighted sum of values,Gradient updates,Feature maps,Activation functions,A
AI,Which technique addresses class imbalance without generating synthetic data?,SMOTE,Cost-sensitive learning,Random oversampling,Data augmentation,B
AI,What is the main advantage of policy gradient methods over value-based RL?,Sample efficiency,Continuous action spaces,Faster convergence,Lower variance,B
AI,Which neural architecture is most suitable for graph-structured data?,CNN,RNN,Autoencoder,Graph Neural Network,D
AI,What does the Kullback-Leibler divergence measure?,Distance between distributions,Gradient magnitude,Loss function value,Activation strength,A
AI,Which regularization technique randomly zeros out neurons during training?,L1 regularization,Dropout,L2 regularization,Batch normalization,B
AI,What is the purpose of layer normalization in transformers?,Prevent overfitting,Reduce parameters,Stabilize training,Increase depth,C
AI,Which algorithm is used for finding optimal policy in finite MDPs?,Q-learning,Value iteration,Policy iteration,SARSA,C
AI,What does perplexity measure in language models?,Model complexity,Training time,Memory usage,Quality of predictions,D
AI,Which technique helps with mode collapse in GANs?,Batch normalization,Instance normalization,Layer normalization,Spectral normalization,D
AI,What is the main challenge in multi-agent reinforcement learning?,Non-stationary environment,Computational complexity,Memory requirements,Data collection,A
AI,Which method estimates uncertainty in neural network predictions?,Dropout at test time,All of these,Ensemble methods,Bayesian neural networks,B
AI,What does the reparameterization trick enable in VAEs?,Faster training,Differentiable sampling,Better reconstruction,Lower latency,B
AI,Which search algorithm guarantees optimality with admissible heuristic?,A*,BFS,DFS,Greedy best-first,A
AI,What is the main benefit of residual connections in deep networks?,Faster training,Gradient flow,Memory efficiency,Parameter sharing,B
AI,Which technique addresses the exploration-exploitation tradeoff?,ε-greedy,Upper Confidence Bound,Thompson sampling,All of these,D
AI,What does mutual information measure between variables?,Linear correlation,Feature importance,Causal relationship,Statistical dependence,D
AI,Which loss function is used for training discriminator in GANs?,Binary cross-entropy,MSE,KL divergence,Wasserstein loss,A
AI,What is the computational complexity of training a transformer?,O(n log n),O(n^2),O(n),O(n^3),B
AI,Which technique prevents internal covariate shift?,Dropout,Batch normalization,Weight decay,Data augmentation,B
AI,What does the critic network estimate in actor-critic methods?,Value function,Policy gradient,Action probabilities,Reward signal,A
AI,Which algorithm is used for approximate inference in Bayesian networks?,Exact inference,MCMC,Variational inference,Belief propagation,C
AI,What is the main advantage of attention over RNNs for sequences?,Lower complexity,Memory efficiency,Parallelization,Faster inference,C
