user_id,subject,difficulty,score,time_spent,learning_style,skill_level
1,Machine Learning,advanced,97.0,227,kinesthetic,beginner
1,Machine Learning,beginner,46.0,294,visual,beginner
1,Data Structures,intermediate,40.0,285,visual,beginner
1,Machine Learning,intermediate,82.0,175,kinesthetic,intermediate
1,Machine Learning,beginner,44.0,185,visual,beginner
1,Python,beginner,90.0,155,visual,advanced
1,OOP,intermediate,71.0,219,kinesthetic,advanced
2,Python,intermediate,88.0,70,auditory,beginner
2,Python,advanced,78.0,184,visual,advanced
2,Machine Learning,intermediate,70.0,284,kinesthetic,intermediate
3,Python,advanced,98.0,166,auditory,intermediate
3,Data Structures,advanced,59.0,144,kinesthetic,advanced
3,Python,intermediate,94.0,75,auditory,intermediate
3,Python,intermediate,82.0,60,kinesthetic,advanced
3,OOP,advanced,74.0,72,visual,beginner
4,Data Structures,advanced,61.0,152,auditory,beginner
4,Python,advanced,72.0,184,visual,beginner
4,Python,intermediate,61.0,62,kinesthetic,beginner
4,Machine Learning,intermediate,62.0,222,kinesthetic,advanced
4,Python,advanced,88.0,247,visual,beginner
4,OOP,advanced,45.0,172,kinesthetic,intermediate
5,OOP,advanced,54.0,137,auditory,intermediate
5,Data Structures,intermediate,57.0,158,auditory,intermediate
5,Python,beginner,98.0,91,kinesthetic,beginner
5,Machine Learning,intermediate,50.0,62,kinesthetic,beginner
5,Data Structures,beginner,64.0,193,kinesthetic,beginner
5,Data Structures,beginner,48.0,153,kinesthetic,advanced
5,Machine Learning,beginner,66.0,244,kinesthetic,advanced
6,OOP,beginner,68.0,199,kinesthetic,beginner
6,Python,beginner,90.0,107,auditory,advanced
6,Python,intermediate,87.0,64,kinesthetic,beginner
6,OOP,advanced,70.0,172,visual,beginner
6,Data Structures,intermediate,91.0,257,auditory,intermediate
6,Data Structures,beginner,88.0,67,auditory,advanced
6,Data Structures,intermediate,42.0,83,visual,intermediate
7,OOP,intermediate,90.0,292,kinesthetic,advanced
7,Data Structures,beginner,87.0,67,kinesthetic,advanced
7,Python,intermediate,71.0,104,auditory,intermediate
8,OOP,intermediate,96.0,128,auditory,advanced
8,OOP,intermediate,48.0,189,kinesthetic,intermediate
8,Machine Learning,intermediate,98.0,86,visual,intermediate
8,Data Structures,beginner,42.0,96,visual,intermediate
8,OOP,advanced,58.0,94,kinesthetic,beginner
9,Python,advanced,94.0,68,visual,beginner
9,Python,beginner,55.0,155,visual,intermediate
9,Data Structures,advanced,70.0,245,kinesthetic,advanced
10,Machine Learning,beginner,47.0,215,auditory,beginner
10,Machine Learning,intermediate,61.0,66,visual,advanced
10,OOP,advanced,96.0,228,auditory,advanced
10,Data Structures,intermediate,40.0,65,kinesthetic,beginner
10,Python,beginner,45.0,110,kinesthetic,advanced
10,Python,advanced,86.0,267,visual,advanced
10,Machine Learning,beginner,55.0,78,kinesthetic,advanced
11,OOP,advanced,51.0,179,auditory,advanced
11,OOP,beginner,59.0,191,kinesthetic,advanced
11,Python,advanced,78.0,99,kinesthetic,beginner
11,Data Structures,intermediate,83.0,93,visual,advanced
11,OOP,intermediate,59.0,157,visual,intermediate
11,OOP,advanced,74.0,151,auditory,beginner
12,OOP,beginner,40.0,112,visual,intermediate
12,Python,beginner,52.0,86,kinesthetic,advanced
12,Python,intermediate,92.0,108,auditory,advanced
12,Data Structures,intermediate,91.0,166,visual,beginner
13,Machine Learning,advanced,86.0,136,auditory,intermediate
13,Machine Learning,beginner,61.0,267,auditory,advanced
13,OOP,intermediate,95.0,69,visual,intermediate
13,OOP,intermediate,92.0,99,visual,advanced
13,OOP,intermediate,92.0,124,auditory,intermediate
13,Machine Learning,advanced,56.0,207,visual,beginner
14,Data Structures,intermediate,72.0,221,visual,advanced
14,Data Structures,beginner,87.0,222,kinesthetic,advanced
14,Data Structures,beginner,69.0,244,visual,intermediate
14,OOP,intermediate,41.0,83,visual,intermediate
14,Python,beginner,50.0,89,visual,advanced
14,Data Structures,intermediate,83.0,192,auditory,intermediate
14,Python,advanced,41.0,244,visual,intermediate
15,Data Structures,advanced,92.0,249,visual,beginner
15,OOP,beginner,72.0,254,auditory,beginner
15,OOP,intermediate,96.0,124,visual,beginner
15,OOP,beginner,61.0,169,kinesthetic,intermediate
15,Data Structures,advanced,94.0,201,auditory,advanced
16,Machine Learning,beginner,72.0,288,auditory,intermediate
16,Python,intermediate,100.0,231,auditory,beginner
16,Python,advanced,86.0,225,auditory,intermediate
16,Python,beginner,54.0,140,auditory,intermediate
16,Data Structures,advanced,86.0,142,kinesthetic,intermediate
16,Data Structures,intermediate,48.0,274,kinesthetic,advanced
17,Data Structures,beginner,67.0,84,visual,advanced
17,Data Structures,beginner,65.0,288,auditory,intermediate
17,Data Structures,intermediate,100.0,63,auditory,intermediate
17,Python,advanced,70.0,95,kinesthetic,advanced
18,Machine Learning,advanced,91.0,211,kinesthetic,advanced
18,Data Structures,advanced,87.0,270,kinesthetic,beginner
18,Python,intermediate,68.0,77,kinesthetic,advanced
19,OOP,advanced,45.0,217,visual,beginner
19,OOP,beginner,61.0,211,auditory,beginner
19,Machine Learning,beginner,42.0,204,kinesthetic,intermediate
20,Python,beginner,79.0,113,visual,beginner
20,Machine Learning,beginner,67.0,191,auditory,advanced
20,Data Structures,advanced,75.0,143,visual,intermediate
21,Machine Learning,beginner,66.0,243,auditory,beginner
21,OOP,intermediate,88.0,293,auditory,advanced
21,Python,beginner,62.0,263,visual,intermediate
21,OOP,advanced,52.0,211,visual,intermediate
22,Python,advanced,77.0,61,auditory,beginner
22,Data Structures,advanced,65.0,185,auditory,beginner
22,Python,intermediate,100.0,253,kinesthetic,intermediate
22,Data Structures,intermediate,79.0,93,kinesthetic,beginner
23,Python,intermediate,84.0,178,visual,beginner
23,OOP,beginner,42.0,99,auditory,advanced
23,OOP,advanced,42.0,243,auditory,intermediate
23,Data Structures,intermediate,75.0,81,visual,intermediate
23,Data Structures,advanced,52.0,222,kinesthetic,beginner
24,OOP,advanced,73.0,223,auditory,intermediate
24,Data Structures,beginner,68.0,253,kinesthetic,intermediate
24,OOP,intermediate,46.0,288,kinesthetic,beginner
25,Python,beginner,77.0,229,visual,advanced
25,OOP,beginner,62.0,180,auditory,advanced
25,Data Structures,intermediate,77.0,198,visual,beginner
25,OOP,advanced,48.0,254,visual,intermediate
25,Data Structures,intermediate,47.0,202,kinesthetic,beginner
